Rover ID,Latitude,Longitude,Timestamp
exist,"73° 46' 42.73"" N","46° 14' 12.42"" E",2023-04-18 10:41:31
reach,"-59° -18' -51.66"" N","23° 59' 5.22"" E",2023-04-30 11:02:37
wear,"9° 47' 44.91"" N","124° 29' 35.58"" E",2023-05-16 07:13:35
attack,"-1° 0' -45.64"" N","-27° -7' -13.11"" E",2023-05-04 09:33:17
material,"63° 47' 23.81"" N","118° 16' 34.63"" E",2023-08-24 20:11:47
child,"-37° -35' -17.49"" N","-60° -44' -45.96"" E",2023-04-16 03:13:46
white,"11° 4' 59.34"" N","-89° -43' -21.83"" E",2023-11-27 02:07:38
whom,"64° 48' 0.64"" N","-25° -23' -34.79"" E",2023-07-27 11:50:32
several,"23° 37' 18.78"" N","-105° 0' -17.64"" E",2023-04-06 15:23:02
its,"-30° -1' -7.71"" N","-160° -2' -51.17"" E",2023-11-12 06:44:27
health,"-73° -23' -37.44"" N","-141° -10' -7.23"" E",2023-02-23 18:31:13
bit,"36° 41' 0.65"" N","-98° -56' -37.78"" E",2023-09-14 06:02:35
cut,"8° 26' 54.39"" N","-155° -27' -12.64"" E",2023-12-01 04:45:49
fire,"-77° -19' -34.80"" N","87° 16' 14.64"" E",2023-05-21 18:52:06
education,"-32° -55' -49.06"" N","-135° -46' -54.37"" E",2023-06-04 09:23:14
eat,"-19° -41' -34.58"" N","-148° -35' -25.62"" E",2023-10-12 22:37:11
painting,"74° 5' 58.55"" N","-110° 0' -37.57"" E",2023-05-31 09:54:07
teach,"-57° -36' -30.09"" N","133° 52' 48.62"" E",2023-02-05 07:16:09
according,"-21° -34' -33.67"" N","112° 32' 43.43"" E",2023-05-03 09:25:43
only,"52° 19' 11.22"" N","33° 44' 30.79"" E",2023-03-19 14:12:39
high,"-19° -54' -52.01"" N","-158° -55' -10.79"" E",2023-02-20 05:40:22
country,"84° 20' 44.95"" N","99° 49' 12.58"" E",2023-01-26 01:34:04
yes,"-69° -8' -11.79"" N","10° 50' 51.67"" E",2023-08-26 23:20:08
nice,"-70° -3' -54.98"" N","97° 2' 46.58"" E",2023-11-27 22:30:34
court,"-31° -24' -29.73"" N","-53° -11' -49.92"" E",2023-03-27 17:52:22
live,"-55° -24' -49.56"" N","76° 10' 46.69"" E",2023-11-15 06:21:22
Congress,"64° 25' 59.59"" N","-41° -9' -5.30"" E",2023-03-08 04:01:21
stuff,"-42° -55' -45.61"" N","-40° -38' -51.28"" E",2023-09-18 02:36:56
huge,"-65° -32' -17.72"" N","-127° -2' -24.74"" E",2023-09-22 06:16:39
whom,"-86° -28' -29.30"" N","168° 34' 58.95"" E",2023-04-10 00:52:43
population,"26° 54' 41.22"" N","-140° -16' -39.18"" E",2023-07-02 10:30:10
stand,"-31° -32' -13.57"" N","71° 32' 57.55"" E",2023-07-25 00:12:59
tough,"58° 58' 22.54"" N","104° 9' 54.77"" E",2023-10-27 19:06:08
news,"43° 26' 46.35"" N","-88° -34' -53.52"" E",2023-03-27 13:03:05
local,"53° 35' 39.13"" N","39° 24' 31.67"" E",2023-05-24 22:30:33
like,"-11° -54' -25.94"" N","130° 56' 52.73"" E",2023-02-11 19:04:51
possible,"-78° -32' -4.73"" N","4° 38' 0.96"" E",2023-11-30 23:09:13
street,"9° 24' 21.00"" N","-25° -49' -9.67"" E",2023-03-15 06:41:00
your,"80° 14' 12.36"" N","9° 11' 14.49"" E",2023-08-26 11:41:18
visit,"-4° -48' -35.98"" N","45° 42' 58.76"" E",2023-12-03 03:47:02
drug,"-40° -23' -43.67"" N","138° 19' 21.64"" E",2023-04-18 13:30:51
door,"79° 51' 25.71"" N","166° 29' 14.15"" E",2023-07-03 02:35:47
information,"29° 28' 8.04"" N","8° 40' 30.12"" E",2023-09-23 04:59:57
feel,"-38° -12' -40.00"" N","-86° -19' -33.48"" E",2023-02-17 13:42:15
common,"-52° -50' -52.56"" N","54° 7' 22.41"" E",2023-04-25 20:37:06
activity,"-35° -56' -21.56"" N","55° 6' 30.57"" E",2023-07-07 13:47:39
save,"-74° -23' -13.25"" N","-34° -46' -7.07"" E",2023-05-05 20:48:00
media,"-38° -10' -9.66"" N","-163° -28' -14.18"" E",2023-07-04 01:49:10
country,"-40° -17' -3.50"" N","158° 1' 30.98"" E",2023-07-09 16:53:21
may,"-46° -16' -17.98"" N","142° 2' 9.60"" E",2023-07-23 00:52:57
tend,"-52° -18' -10.68"" N","-57° -38' -20.76"" E",2023-06-01 07:24:17
reality,"-73° -52' -38.40"" N","-125° -34' -15.93"" E",2023-09-06 07:35:43
money,"69° 6' 52.33"" N","94° 6' 41.82"" E",2023-11-07 02:33:12
will,"-9° -31' -11.53"" N","155° 56' 15.48"" E",2023-10-29 11:54:39
require,"-27° -10' -4.35"" N","-142° -25' -19.44"" E",2023-04-16 03:53:08
newspaper,"21° 46' 20.32"" N","37° 5' 57.30"" E",2023-04-10 08:14:33
others,"-83° -9' -55.45"" N","122° 46' 3.31"" E",2023-05-23 01:03:45
election,"-13° -22' -24.56"" N","91° 18' 59.98"" E",2023-02-20 02:23:25
lead,"-75° -43' -15.47"" N","-152° -47' -30.65"" E",2023-01-26 17:51:12
class,"-61° -17' -41.14"" N","-116° -14' -54.97"" E",2023-12-06 02:37:18
also,"88° 43' 14.41"" N","77° 5' 37.20"" E",2023-06-11 04:31:26
there,"68° 50' 4.24"" N","-109° 0' -54.94"" E",2023-06-29 18:00:05
general,"44° 30' 51.60"" N","-1° -14' -35.79"" E",2023-09-07 08:20:12
training,"63° 7' 34.71"" N","-6° -52' -33.38"" E",2023-03-27 00:10:08
buy,"82° 42' 53.07"" N","-168° -48' -54.78"" E",2023-06-09 01:46:31
beat,"-83° -12' -47.87"" N","162° 41' 33.76"" E",2023-11-25 08:18:43
building,"86° 35' 52.33"" N","120° 45' 46.94"" E",2023-03-08 04:24:24
how,"-41° -51' -54.00"" N","86° 16' 37.57"" E",2023-06-13 13:41:39
hand,"58° 3' 22.72"" N","164° 6' 37.13"" E",2023-04-26 14:24:18
reflect,"78° 49' 3.05"" N","-82° -27' -48.14"" E",2023-05-31 23:08:22
education,"6° 28' 17.88"" N","-168° -57' -41.77"" E",2023-10-02 00:04:28
defense,"-7° -48' -28.00"" N","-48° -29' -49.82"" E",2023-07-08 02:39:48
campaign,"-15° -20' -0.99"" N","116° 36' 59.00"" E",2023-06-29 10:14:38
town,"-29° -41' -52.50"" N","-76° -25' -15.88"" E",2023-06-13 17:24:35
blue,"-69° -3' -24.20"" N","-85° -34' -24.12"" E",2023-02-02 12:16:54
sometimes,"-44° -49' -40.80"" N","20° 6' 34.62"" E",2023-11-01 18:49:16
bring,"13° 40' 11.63"" N","126° 37' 42.71"" E",2023-05-25 00:23:24
start,"12° 4' 44.36"" N","-76° -14' -11.61"" E",2023-06-21 13:03:15
skill,"85° 18' 23.57"" N","123° 28' 12.74"" E",2023-05-18 17:04:37
recognize,"-5° -39' -15.88"" N","142° 12' 31.45"" E",2023-01-19 00:13:11
hear,"29° 41' 38.48"" N","92° 45' 42.96"" E",2023-05-05 05:23:38
true,"3° 58' 16.99"" N","167° 2' 37.41"" E",2023-02-23 12:16:55
the,"39° 3' 31.43"" N","-50° -19' -9.20"" E",2023-07-05 00:13:59
security,"85° 15' 59.17"" N","-87° -18' -9.71"" E",2023-02-27 13:10:01
way,"-81° -53' -52.97"" N","33° 31' 12.85"" E",2023-06-11 10:00:17
mother,"3° 41' 54.29"" N","-45° -11' -12.61"" E",2023-03-08 12:03:29
factor,"71° 18' 26.90"" N","-43° -2' -49.98"" E",2023-01-19 13:06:46
chair,"-85° -17' -53.62"" N","98° 55' 26.18"" E",2023-02-07 11:34:16
spring,"64° 16' 37.15"" N","89° 36' 53.60"" E",2023-03-31 10:20:21
particularly,"-43° -36' -56.55"" N","-129° 0' -54.17"" E",2023-09-15 03:26:31
interesting,"-63° -31' -12.16"" N","-12° -18' -34.85"" E",2023-11-20 08:23:54
however,"62° 51' 7.35"" N","154° 42' 15.15"" E",2023-12-13 02:38:51
the,"-20° -59' -58.50"" N","29° 0' 46.52"" E",2023-06-22 12:22:41
do,"-81° -8' -34.61"" N","-135° -30' -35.31"" E",2023-07-23 10:08:39
avoid,"-31° -26' -59.63"" N","96° 2' 52.60"" E",2023-04-08 21:09:38
girl,"-29° -24' -57.59"" N","-145° -40' -33.65"" E",2023-10-29 05:48:43
before,"65° 3' 41.12"" N","-152° -1' -36.66"" E",2023-09-27 15:44:21
pretty,"76° 31' 45.05"" N","-170° -33' -42.04"" E",2023-01-16 05:28:14
feeling,"15° 12' 43.19"" N","121° 9' 58.65"" E",2023-11-27 06:48:45
reveal,"-74° -19' -26.78"" N","65° 57' 59.15"" E",2023-11-25 05:41:49
business,"-60° -50' -35.30"" N","129° 40' 15.56"" E",2023-07-06 07:59:01
woman,"40° 39' 48.80"" N","0° 39' 22.51"" E",2023-08-18 16:35:21
its,"49° 52' 18.30"" N","-7° -33' -16.30"" E",2023-10-22 12:53:00
watch,"-22° -56' -6.65"" N","65° 36' 59.14"" E",2023-11-25 03:11:10
ago,"-32° -59' -47.91"" N","139° 24' 30.88"" E",2023-03-08 04:45:38
number,"40° 16' 25.77"" N","126° 53' 47.92"" E",2023-02-17 03:38:13
sister,"86° 33' 13.01"" N","-109° -10' -35.98"" E",2023-08-03 11:11:38
right,"20° 21' 11.21"" N","145° 28' 7.40"" E",2023-09-11 21:31:47
protect,"55° 0' 9.50"" N","-112° -58' -43.02"" E",2023-02-23 19:33:39
commercial,"-64° -21' -21.68"" N","21° 45' 10.73"" E",2023-09-03 14:31:00
myself,"-24° -41' -8.18"" N","125° 53' 16.20"" E",2023-05-24 12:33:06
