Rover ID,Latitude,Longitude,Timestamp
especially,"87° 31' 7.80"" N","173° 6' 16.80"" E",2023-03-06 23:55:18
memory,"85° 58' 56.25"" N","140° 57' 11.64"" E",2023-06-27 07:13:08
still,"-21° -56' -49.48"" N","58° 29' 45.97"" E",2023-06-09 00:50:34
indeed,"-12° -52' -56.96"" N","-155° -29' -3.13"" E",2023-11-04 20:04:28
agency,"-34° -48' -0.71"" N","3° 25' 57.01"" E",2023-05-25 05:03:45
garden,"-59° -23' -3.29"" N","176° 34' 17.42"" E",2023-01-15 17:40:59
hot,"66° 25' 59.55"" N","98° 7' 15.93"" E",2023-01-17 05:15:09
be,"26° 36' 36.38"" N","-10° -26' -1.01"" E",2023-11-21 15:34:34
your,"69° 42' 24.63"" N","78° 10' 0.71"" E",2023-06-26 11:53:59
cell,"89° 6' 1.63"" N","-100° -35' -41.82"" E",2023-01-31 04:53:29
